index,Longitude,Latitude,County,State_code,State_name
0,-88.7225,34.9478,Alcorn,MS,Mississippi
1,-93.55749999,30.90472001,Newton,TX,Texas
2,-83.12798679,30.84533929,Lowndes,GA,Georgia
3,-77.90597641,42.73193374,Livingston,NY,New York
4,-88.0994,31.1222,Mobile,AL,Alabama
5,-95.490213,33.669209,Lamar,TX,Texas
6,-96.1751,32.56499998,Kaufman,TX,Texas
7,-93.47281993,47.21028723,Itasca,MN,Minnesota
8,-94.68856,32.38856,Gregg,TX,Texas
9,-81.5575,31.2408,Glynn,GA,Georgia
10,-98.51480001,43.94039999,Jerauld,SD,South Dakota
11,-93.74782,37.82518,Cedar,MO,Missouri
12,-83.2331,37.2936,Perry,KY,Kentucky
13,-97.8383698,30.2370808,Travis,TX,Texas
14,-75.74861111,40.74611111,Carbon,PA,Pennsylvania
15,-82.04,30.11,Clay,FL,Florida
16,-101.856664,35.150426,Randall,TX,Texas
17,-81.4619,34.1156,Newberry,SC,South Carolina
18,-84.97758751,31.04372295,Seminole,GA,Georgia
19,-81.705,30.2006,Duval,FL,Florida
20,-98.44781,33.37021,Young,TX,Texas
21,-86.9606,33.6767,Jefferson,AL,Alabama
22,-82.5203,35.125,Greenville,SC,South Carolina
23,-89.8714,31.6086,Jefferson Davis,MS,Mississippi
24,-81.34133251,38.43800893,Kanawha,WV,West Virginia
25,-77.46472,38.00945,Caroline,VA,Virginia
26,-89.8114,34.3428,Panola,MS,Mississippi
27,-109.026667,33.7319444,Catron,NM,New Mexico
28,-83.67308001,37.52616001,Lee,KY,Kentucky
29,-100.117,44.33319999,Hughes,SD,South Dakota
30,-99.77,33.2110576,Haskell,TX,Texas
31,-98.4500262,32.0363041,Comanche,TX,Texas
32,-87.6419,33.7481,Fayette,AL,Alabama
33,-81.09472998,28.78694001,Seminole,FL,Florida
34,-79.55,34.95,Scotland,NC,North Carolina
35,-96.29158335,31.56061498,Freestone,TX,Texas
36,-93.93528001,31.10221999,Jasper,TX,Texas
37,-95.54642,32.1567,Henderson,TX,Texas
38,-96.367,42.1167,Thurston,NE,Nebraska
39,-115.3441667,46.81194444,Clearwater,ID,Idaho
40,-98.72458693,28.84314273,Atascosa,TX,Texas
41,-88.28403,30.58161,Mobile,AL,Alabama
42,-116.885,32.85305555,San Diego,CA,California
43,-120.3469444,37.11305555,Madera,CA,California
44,-83.40968181,33.11641583,Baldwin,GA,Georgia
45,-82.8272,38.3936,Greenup,KY,Kentucky
46,-98.5987667,33.31781504,Young,TX,Texas
47,-83.6672,37.7697,Wolfe,KY,Kentucky
48,-101.027527,34.825535,Donley,TX,Texas
49,-86.7289,33.0331,Chilton,AL,Alabama
50,-93.95191,32.73962,Caddo,LA,Louisiana
51,-98.07688903,30.18590914,Hays,TX,Texas
52,-86.70158,33.145448,Shelby,AL,Alabama
53,-83.44139997,37.37890002,Breathitt,KY,Kentucky
54,-92.3533,34.6242,Saline,AR,Arkansas
55,-81.35,36,Caldwell,NC,North Carolina
56,-96.59732,42.59845,Union,SD,South Dakota
57,-82.89835757,31.36263391,Atkinson,GA,Georgia
58,-94.804238,31.437347,Angelina,TX,Texas
59,-102.966,41.40636,Cheyenne,NE,Nebraska
60,-89.8317,33.5122,Carroll,MS,Mississippi
61,-95.01875,32.67292,Upshur,TX,Texas
62,-90.4514,33.3444,Leflore,MS,Mississippi
63,-90.324272,31.996263,Copiah,MS,Mississippi
64,-81.6375,33.5875,Aiken,SC,South Carolina
65,-98.74498,33.686855,Archer,TX,Texas
66,-120.4211111,37.95,Tuolumne,CA,California
67,-83.3867,37.4961,Breathitt,KY,Kentucky
68,-98.36158001,31.06063,Lampasas,TX,Texas
69,-82.5208346,31.45626247,Ware,GA,Georgia
70,-94.596785,32.526862,Harrison,TX,Texas
71,-75.23615001,39.29277999,Cumberland,NJ,New Jersey
72,-85.3808,34.4644,Chattooga,GA,Georgia
73,-94.51861,31.67722,Nacogdoches,TX,Texas
74,-81.37038,35.0374,York,SC,South Carolina
75,-77.921957,42.120559,Allegany,NY,New York
76,-82.58111,29.16778,Levy,FL,Florida
77,-101.9798584,40.57239532,Chase,NE,Nebraska
78,-81.56167083,38.73519239,Jackson,WV,West Virginia
79,-85.20165997,29.83667,Gulf,FL,Florida
80,-81.79,30.12,Clay,FL,Florida
81,-94.185656,46.350745,Crow Wing,MN,Minnesota
82,-92.91934,30.62699,Allen,LA,Louisiana
83,-83.65395442,32.51746278,Houston,GA,Georgia
84,-74.1880388,41.32919221,Orange,NY,New York
85,-82.59054997,34.46472,Anderson,SC,South Carolina
86,-88.19434,35.265,Hardin,TN,Tennessee
87,-95.72,31.99,Anderson,TX,Texas
88,-81.7403,33.4356,Aiken,SC,South Carolina
89,-75.06667,39.3375,Cumberland,NJ,New Jersey
90,-121.5,41.83333333,Siskiyou,CA,California
91,-95.668652,42.489253,Ida,IA,Iowa
92,-94.89375001,30.22291999,Liberty,TX,Texas
93,-85.3424525,34.3806703,Chattooga,GA,Georgia
94,-97.077942,32.364303,Ellis,TX,Texas
95,-84.1461696,31.95005069,Sumter,GA,Georgia
96,-85.2233,35.8917,Cumberland,TN,Tennessee
97,-82.15,34.51667001,Laurens,SC,South Carolina
98,-88.491944,43.773611,Fond du Lac,WI,Wisconsin
99,-89.6931,31.4781,Jefferson Davis,MS,Mississippi
100,-78.1,35.3167,Wayne,NC,North Carolina
101,-75.82579016,43.28220785,Oneida,NY,New York
102,-83.43546837,32.65326185,Twiggs,GA,Georgia
103,-95.50848002,34.67909999,Pushmataha,OK,Oklahoma
104,-83.47470829,30.78961134,Brooks,GA,Georgia
105,-77.61052715,43.17635235,Monroe,NY,New York
106,-80.85858,32.64636,Beaufort,SC,South Carolina
2028,-84.26864235,31.89909204,Lee,GA,Georgia
107,-106.6536,36.91305999,Rio Arriba,NM,New Mexico
108,-82.15267879,38.20960809,Lincoln,WV,West Virginia
109,-89.854401,31.544552,Jefferson Davis,MS,Mississippi
110,-85.2867,33.6075,Carroll,GA,Georgia
111,-89.1447,33.4533,Choctaw,MS,Mississippi
112,-81.06,27.29,Highlands,FL,Florida
113,-87.27999997,35.26833,Lawrence,TN,Tennessee
114,-103.5337982,35.17860031,Quay,NM,New Mexico
115,-94.75749998,35.49832998,Sequoyah,OK,Oklahoma
116,-82.98410406,30.76282794,Echols,GA,Georgia
117,-83.5678,37.4717,Owsley,KY,Kentucky
118,-96.325722,32.589068,Kaufman,TX,Texas
119,-118.8518,48.7929,Okanogan,WA,Washington
120,-116.5980556,32.70388888,San Diego,CA,California
121,-85.2275,33.7958,Haralson,GA,Georgia
122,-92.33333,36.35,Baxter,AR,Arkansas
123,-92.5306,35.4256,Conway,AR,Arkansas
124,-77.43763,39.56942,Frederick,MD,Maryland
125,-95.4822,35.5367,McIntosh,OK,Oklahoma
126,-93.71452998,35.12023,Logan,AR,Arkansas
127,-119.4211111,36.34194444,Tulare,CA,California
128,-85.38746397,34.13816557,Floyd,GA,Georgia
129,-83.93603056,31.72604654,Worth,GA,Georgia
130,-88.44647,45.25945,Oconto,WI,Wisconsin
131,-94.78916997,32.66388999,Upshur,TX,Texas
132,-81.97,30.73,Nassau,FL,Florida
133,-91.47143655,37.63044404,Dent,MO,Missouri
134,-89.1689,30.385,Harrison,MS,Mississippi
135,-93.4056,33.0575,Columbia,AR,Arkansas
136,-103.5403061,41.93165588,Scotts Bluff,NE,Nebraska
137,-92.85088124,34.31533276,Hot Spring,AR,Arkansas
138,-84.9881,30.6572,Jackson,FL,Florida
139,-97.23528331,32.23250078,Hill,TX,Texas
140,-81.98895,33.78497,Edgefield,SC,South Carolina
141,-93.6608,30.43189,Beauregard,LA,Louisiana
142,-81.43669175,31.85432035,Liberty,GA,Georgia
143,-88.4494,30.3981,Jackson,MS,Mississippi
144,-95.36245,35.28997,Haskell,OK,Oklahoma
145,-92.21872,31.8657,LaSalle,LA,Louisiana
146,-122.80464,47.0016,Thurston,WA,Washington
147,-94.06016,45.62524,Benton,MN,Minnesota
148,-73.9709,42.7868,Schenectady,NY,New York
149,-77.58073,34.84625,Onslow,NC,North Carolina
150,-82.35635001,34.15880998,Abbeville,SC,South Carolina
151,-95.22694,33.32721999,Franklin,TX,Texas
152,-83.733398,36.899281,Knox,KY,Kentucky
153,-81.63404998,34.27909,Newberry,SC,South Carolina
154,-117.287512,33.828106,Riverside,CA,California
155,-80.19,26.73,Palm Beach,FL,Florida
156,-119.1895,48.6419,Okanogan,WA,Washington
157,-93.2442,34.0656,Clark,AR,Arkansas
158,-81.67888997,33.65749999,Aiken,SC,South Carolina
159,-120.9930556,39.16694444,Nevada,CA,California
160,-88.0314,31.1367,Mobile,AL,Alabama
161,-84.64999997,36.055,Morgan,TN,Tennessee
162,-105.3747,44.6061,Campbell,WY,Wyoming
163,-81.63611,26.09333,Collier,FL,Florida
164,-81.9825,27.10389,DeSoto,FL,Florida
165,-82.8056,38.5478,Greenup,KY,Kentucky
166,-83.22164,37.22086001,Perry,KY,Kentucky
167,-75.2097,42.279,Delaware,NY,New York
168,-97.67093,30.39478,Travis,TX,Texas
169,-80.39,25.51,Miami-Dade,FL,Florida
170,-82.33,30.48,Baker,FL,Florida
171,-80.81666997,33.88334,Richland,SC,South Carolina
172,-88.6692,31.6192,Wayne,MS,Mississippi
173,-81.19,28.28,Osceola,FL,Florida
174,-95.015,38.234444,Linn,KS,Kansas
175,-105.15254,38.41243,Fremont,CO,Colorado
176,-101.5883,30.36127,Crockett,TX,Texas
177,-76.39,40.7575,Schuylkill,PA,Pennsylvania
178,-97.98680305,43.56136186,Davison,SD,South Dakota
179,-82.70496,35.25853,Transylvania,NC,North Carolina
180,-87.83,42.4,Lake,IL,Illinois
181,-93.98161492,30.58679752,Jasper,TX,Texas
182,-91.21146,46.10014,Sawyer,WI,Wisconsin
183,-86.69997,33.48165,Jefferson,AL,Alabama
184,-99.688568,32.692843,Jones,TX,Texas
185,-87.6558,33.3544,Tuscaloosa,AL,Alabama
186,-105.8416667,36.11472222,Rio Arriba,NM,New Mexico
187,-97.24089046,33.50236299,Cooke,TX,Texas
188,-74.377124,44.466969,Franklin,NY,New York
189,-84.3492,37.3747,Rockcastle,KY,Kentucky
190,-80.75157997,32.42908002,Beaufort,SC,South Carolina
191,-78.5883,35.7017,Wake,NC,North Carolina
192,-83.137268,37.342911,Perry,KY,Kentucky
193,-82.56306,36.60889,Scott,VA,Virginia
194,-80.91810998,32.69074998,Hampton,SC,South Carolina
195,-97.1973194,33.5093935,Cooke,TX,Texas
196,-81.98,26.92,Charlotte,FL,Florida
197,-92.76967,30.98752,Rapides,LA,Louisiana
198,-98.2592,29.3242,Bexar,TX,Texas
199,-98.4269,43.1401,Charles Mix,SD,South Dakota
200,-74.44805001,39.55881,Atlantic,NJ,New Jersey
201,-88.7678,30.6431,Jackson,MS,Mississippi
202,-98.79339998,43.3497,Charles Mix,SD,South Dakota
203,-84.2986,32.27,Schley,GA,Georgia
204,-81.95805,26.93917,Charlotte,FL,Florida
205,-92.81493,30.97298,Rapides,LA,Louisiana
206,-83.9928,34.0697,Gwinnett,GA,Georgia
207,-94.6449162,32.5042907,Harrison,TX,Texas
208,-68.55042,47.16792,Aroostook,ME,Maine
209,-73.0211,40.8301,Suffolk,NY,New York
210,-71.32,42.67,Middlesex,MA,Massachusetts
211,-97.56453001,32.89692998,Parker,TX,Texas
212,-95.53001394,47.60314008,Clearwater,MN,Minnesota
213,-91.52230001,35.53022997,Independence,AR,Arkansas
214,-124.212296,41.869337,Del Norte,CA,California
215,-93.60353084,32.85474005,Bossier,LA,Louisiana
216,-80.70677,33.26133,Orangeburg,SC,South Carolina
217,-95.90836,32.51661,Van Zandt,TX,Texas
218,-96.378422,31.516362,Limestone,TX,Texas
219,-80.3833,35.1833,Stanly,NC,North Carolina
220,-88.38528,30.59655,Mobile,AL,Alabama
221,-83.3317,38.5986,Lewis,KY,Kentucky
222,-117.24943,33.772019,Riverside,CA,California
223,-90.870118,31.362689,Franklin,MS,Mississippi
224,-95.61002999,32.42788998,Van Zandt,TX,Texas
225,-88.1164,31.1222,Mobile,AL,Alabama
226,-79.95222,34.445,Darlington,SC,South Carolina
227,-95.5342,34.92,Pittsburg,OK,Oklahoma
228,-79.0183,35.0783,Cumberland,NC,North Carolina
229,-93.8722,33.27203002,Miller,AR,Arkansas
230,-83.81197748,32.50506163,Peach,GA,Georgia
231,-95.30611,32.03528001,Cherokee,TX,Texas
232,-95.17575207,47.75485979,Beltrami,MN,Minnesota
233,-89.4103,32.7633,Leake,MS,Mississippi
234,-83.8522,36.9533,Knox,KY,Kentucky
235,-92.53029,33.36512,Calhoun,AR,Arkansas
236,-92.51763,37.29615,Wright,MO,Missouri
237,-82.69860997,29.61443999,Gilchrist,FL,Florida
238,-81.10319,33.55432999,Orangeburg,SC,South Carolina
239,-88.0653,31.1806,Washington,AL,Alabama
240,-82.1944,28.9819,Marion,FL,Florida
241,-80.695,32.9994,Colleton,SC,South Carolina
242,-116.0739,41.1567,Elko,NV,Nevada
243,-80.5167,34.3667,Kershaw,SC,South Carolina
244,-80.9653,33.4728,Orangeburg,SC,South Carolina
245,-95.58500001,34.37783001,Pushmataha,OK,Oklahoma
246,-84.2772,31.8244,Terrell,GA,Georgia
247,-95.8178,34.7897,Pittsburg,OK,Oklahoma
248,-94.997063,31.664194,Cherokee,TX,Texas
249,-98.67649,29.04629,Atascosa,TX,Texas
250,-82.22509789,31.69696873,Appling,GA,Georgia
251,-92.44496,34.19406,Grant,AR,Arkansas
252,-121.05123,47.17398,Kittitas,WA,Washington
253,-74.494453,41.586317,Sullivan,NY,New York
254,-120.4538889,35.52111111,San Luis Obispo,CA,California
255,-82.19,30.18,Baker,FL,Florida
256,-112.5633,34.873,Yavapai,AZ,Arizona
257,-95.79222,33.78278,Lamar,TX,Texas
258,-121.5138889,41.27611111,Siskiyou,CA,California
259,-82.35788175,38.27526607,Wayne,WV,West Virginia
260,-93.95931714,37.0671731,Lawrence,MO,Missouri
261,-99.2651,29.8671,Bandera,TX,Texas
262,-88.02885,45.57461,Marinette,WI,Wisconsin
263,-83.0569,37.9778,Morgan,KY,Kentucky
264,-89.9378,31.6744,Jefferson Davis,MS,Mississippi
265,-96.8337,44.8426,Deuel,SD,South Dakota
266,-146.233067,62.35035,Valdez-Cordova,AK,Alaska
267,-86.81,30.42,Santa Rosa,FL,Florida
268,-81.46,27.64,Highlands,FL,Florida
269,-94.6193968,32.3003126,Rusk,TX,Texas
270,-88.5583,31.5533,Wayne,MS,Mississippi
271,-84.7414,31.9961,Stewart,GA,Georgia
272,-81.79345105,38.2912379,Kanawha,WV,West Virginia
273,-83.3944,37.4103,Breathitt,KY,Kentucky
274,-92.9911,32.5342,Bienville,LA,Louisiana
275,-80.39,25.56,Miami-Dade,FL,Florida
276,-78.01417,39.68389,Washington,MD,Maryland
277,-110.9216,31.362,Santa Cruz,AZ,Arizona
278,-86.5953,33.7289,Jefferson,AL,Alabama
279,-80.9475,34.5269,Fairfield,SC,South Carolina
280,-79.2,35.0167,Hoke,NC,North Carolina
281,-88.3692,30.9611,Mobile,AL,Alabama
282,-81.9,29.08,Marion,FL,Florida
283,-79.1617,35.1917,Moore,NC,North Carolina
284,-81.2083,35.8083,Catawba,NC,North Carolina
285,-91.090845,31.636126,Jefferson,MS,Mississippi
286,-80.91616,33.46681,Orangeburg,SC,South Carolina
287,-82.85,30.04,Suwannee,FL,Florida
288,-81.08189,35.18615,Gaston,NC,North Carolina
289,-83.2225,37.1367,Perry,KY,Kentucky
290,-84.09,35.64,Blount,TN,Tennessee
291,-81.9167,31.4122,Wayne,GA,Georgia
292,-82.992073,37.612148,Magoffin,KY,Kentucky
293,-82.86617,35.11936,Transylvania,NC,North Carolina
294,-92.7411,34.4722,Hot Spring,AR,Arkansas
295,-79.48415,34.47984,Dillon,SC,South Carolina
296,-81.29947665,37.53623059,Wyoming,WV,West Virginia
297,-88.43333333,30.4,Jackson,MS,Mississippi
298,-89.03361111,31.03416667,Perry,MS,Mississippi
299,-92.11815002,34.23487998,Jefferson,AR,Arkansas
300,-96.8315725,28.9099412,Victoria,TX,Texas
301,-89.7833,32.7328,Madison,MS,Mississippi
302,-81.6167,33.4667,Aiken,SC,South Carolina
303,-120.2425,48.0072,Chelan,WA,Washington
304,-101.690273,35.072973,Randall,TX,Texas
305,-96.48163,32.05001,Navarro,TX,Texas
306,-98.432779,29.095552,Atascosa,TX,Texas
307,-81.89639,26.80889,Charlotte,FL,Florida
308,-80.9953,32.7875,Hampton,SC,South Carolina
309,-82.34612,28.31278,Pasco,FL,Florida
310,-94.79701999,31.32690998,Angelina,TX,Texas
311,-90.8019,35.3483,Cross,AR,Arkansas
312,-100.379333,31.974153,Coke,TX,Texas
313,-94.07610998,32.23721999,Panola,TX,Texas
314,-158.0775299,21.2987022,Honolulu,HI,Hawaii
315,-79.36945,36.65833,Pittsylvania,VA,Virginia
316,-79.36508,35.89756,Alamance,NC,North Carolina
317,-93.57824,31.27125,Sabine,LA,Louisiana
318,-81.61666998,33.96667002,Saluda,SC,South Carolina
319,-95.209103,32.275059,Smith,TX,Texas
320,-89.584361,32.628148,Leake,MS,Mississippi
321,-86.77055,33.8775,Blount,AL,Alabama
322,-83.0897,38.5431,Greenup,KY,Kentucky
323,-117.7013889,45.29222222,Union,OR,Oregon
324,-83.5331566,32.71507841,Twiggs,GA,Georgia
325,-83.60157626,32.38357635,Houston,GA,Georgia
326,-88.1522,34.8897,Tishomingo,MS,Mississippi
327,-97.0451609,28.790217,Victoria,TX,Texas
328,-95.0302997,31.97264074,Cherokee,TX,Texas
329,-98.74855042,40.74725723,Buffalo,NE,Nebraska
330,-86.69417,30.76278,Okaloosa,FL,Florida
331,-96.7852845,32.2078274,Ellis,TX,Texas
332,-83.5497,32.4069,Houston,GA,Georgia
333,-97.92555999,44.01318,Sanborn,SD,South Dakota
334,-71.34,42.66,Middlesex,MA,Massachusetts
335,-82.2667,35.9167,Yancey,NC,North Carolina
336,-82.28,30.26,Baker,FL,Florida
337,-86.40275,33.74303,St. Clair,AL,Alabama
338,-81.4672,34.0458,Lexington,SC,South Carolina
339,-82.51,28.53750002,Hernando,FL,Florida
340,-89.9325,32.7478,Madison,MS,Mississippi
341,-91.8344,36.4433,Fulton,AR,Arkansas
342,-93.54244,35.71346,Johnson,AR,Arkansas
343,-75.8917,35.6883,Dare,NC,North Carolina
344,-86.38614,33.641,St. Clair,AL,Alabama
345,-94.12132998,35.32367998,Sebastian,AR,Arkansas
346,-74.146631,42.375808,Greene,NY,New York
347,-81.2733,34.0044,Lexington,SC,South Carolina
348,-94.54806002,32.33999998,Rusk,TX,Texas
349,-94.221497,33.127063,Cass,TX,Texas
350,-80.03833001,34.57943997,Chesterfield,SC,South Carolina
351,-80.40361997,34.80978998,Chesterfield,SC,South Carolina
352,-95.77083999,30.28499999,Montgomery,TX,Texas
353,-83.0117,37.4336,Knott,KY,Kentucky
354,-81.77138999,26.75389,Lee,FL,Florida
355,-103.4470978,41.82199097,Scotts Bluff,NE,Nebraska
356,-99.428397,32.339738,Callahan,TX,Texas
357,-92.32,38.09,Miller,MO,Missouri
358,-78.01262998,34.23684999,Brunswick,NC,North Carolina
359,-102.1191,44.98749999,Meade,SD,South Dakota
360,-97.25338,33.24041,Denton,TX,Texas
361,-86.50106,32.80204,Chilton,AL,Alabama
362,-85.23256698,34.06277988,Polk,GA,Georgia
363,-116.9580556,33.76388888,Riverside,CA,California
364,-95.251465,30.857732,San Jacinto,TX,Texas
365,-81.12024,32.54688,Jasper,SC,South Carolina
366,-83.53132543,32.71670847,Twiggs,GA,Georgia
367,-85.9217,33.1267,Clay,AL,Alabama
368,-86.5442,32.1458,Lowndes,AL,Alabama
369,-81.82152982,33.16597037,Burke,GA,Georgia
370,-116.6050951,46.52412296,Nez Perce,ID,Idaho
371,-84.8222,34.6186,Murray,GA,Georgia
372,-94.0277,33.1769,Miller,AR,Arkansas
373,-80.41,25.6,Miami-Dade,FL,Florida
374,-92.97003,30.72463,Allen,LA,Louisiana
375,-93.44752997,33.90299001,Nevada,AR,Arkansas
