,fire_name,latitude,longitude
0,,18.105072,-66.75304399999999
1,,35.03832998,-87.60999999
2,,34.9478,-88.7225
3,WNA  1,39.6414,-119.3083
4,,30.7006,-90.5914
5,,32.0639,-82.4178
6,,31.31697802,-83.39364888
7,,30.90472001,-93.55749999
8,,35.90031,-92.06118
9,CRAZY,48.8394,-99.7185
10,,30.84533929,-83.12798679
11,SWR-20150212-008,31.195108,-88.150651
12,,33.85573991,-85.31107517
13,,31.76738,-93.14687
14,,32.775,-80.65833333
15,ROLSTON,33.98860931,-103.1352768
16,TREE HOUSE LIGHTER,36.0833,-78.9167
17,,36.1647,-91.8397
18,,35.73848,-79.49695
19,,31.5667,-90.5089
20,,18.130913,-66.472954
21,TELEPHONE FIRE,33.779575,-96.025915
22,,40.84338552,-73.31641886
23,,33.4583,-80.4464
24,,31.43518075,-88.99948898
25,,17.988879999999998,-67.04791999999999
26,STO3573155,35.7189,-92.335
27,,33.9375,-81.30416667
28,,42.73193374,-77.90597641
29,,31.1222,-88.0994
30,,42.139938,-77.019666
31,AXE RONDEAU,48.833,-99.7836
32,,34.8928,-84.7615
33,CR 42600,33.669209,-95.490213
34,,31.01769001,-90.40238359
35,FY2001-EARLY-021,31.259,-84.8956
36,LUCKY,33.2418,-104.9122
37,,28.42583,-81.39111
38,,30.57305999,-85.82222
39,,36.32809825,-94.90830244
40,MARBLE HEAD,40.8347,-112.8064
41,HWY 438 W,35.756667,-87.65
42,,32.87732378,-82.72099158
43,,30.33,-82.97
44,,32.56499998,-96.1751
45,HIGHWAY 30 FIRE,37.34421,-83.92352
46,,35.6431,-92.5239
47,,32.1666,-82.0543
48,LAUREL BRANCH,37.46458863,-81.49122444
49,2015-98,32.232007,-94.478323
50,,34.90639854,-94.86450192
51,,47.21028723,-93.47281993
52,,36.28459942,-94.85479719
53,,29.60577,-99.7186
54,AGERT,43.85158,-108.19147
55,,32.38856,-94.68856
56,LED BETTER BARN,36.5865,-96.32322
57,CALDERWOOD,35.47333333,-84.45
58,,42.40379312,-73.41862982
59,DEVIL'S,36.81666667,-82.65166667
60,,34.225,-80.075
61,,30.88881532,-89.40650759999998
62,,18.01667,-66.451408
63,,29.52,-83.26
64,SPRING GULCH,39.205,-105.18833329999998
65,DALLAS LOOP,32.80707917,-94.57469159
66,,47.342389,-92.822977
67,FATHER'S DAY FIRE,30.23458,-88.66805
68,,31.2408,-81.5575
69,,32.0503,-85.5731
70,,33.21749998,-79.32026999
71,,32.94166667,-80.64166667
72,,29.77036999,-97.22999998
73,,43.94039999,-98.51480001
74,,31.8044,-92.7642
75,,45.0422716,-89.03498935
76,,31.9954,-82.7805
77,,32.275940000000006,-102.7609
78,RAMP,34.33,-117.5130556
79,BIRCH,42.36444444,-112.2322222
80,,28.06,-82.57
81,,37.82518,-93.74782
82,,33.59583333,-80.325
83,TELEPHONE CANYON,41.51085,-109.50637
84,LIL CARIBO,63.8517,-150.3543
85,,31.52155134,-83.30110959999999
86,FY2014-TOOMBS-030,32.28853889,-82.40083333
87,,34.9,-111.4333333
88,MCNEIL                   ,35.29805555,-120.48
89,SWEETBAY 1,25.334719,-80.80555600000001
90,,43.246827,-73.66582199999999
91,RL278,47.8666,-94.9169
92,,43.718140000000005,-89.52824
93,,36.816567,-119.63695
94,,35.06351,-93.35006
95,FY2015-LAURENS-107,32.25136667,-82.91357222
96,TAYLOR FURY (54),29.4794,-81.584
97,FY2011-HARRIS-024,32.78947346,-84.84721729
98,HAMMER CREEK,45.76867435,-116.3321016
99,,31.0847,-88.5464
100,,41.55579979,-74.40212285
101,US HWY 74,34.55,-79.0167
102,,32.4929,-84.1167
103,,32.75029364,-82.48540152
104,,37.2936,-83.2331
105,,34.7703,-88.4019
106,,31.133234,-81.55446249
107,,36.94415,-94.31492
108,,34.15052242,-84.40011591
109,NELLIE LANE I,34.6833,-77.15
110,,33.52291,-94.97292
