Fire_Size,Fire_Cause,Latitude,Longitude,State,Discovery_Date
60.0,Arson,34.9478,-88.7225,MS,1/30/2004
1.0,Campfire,30.90472001,-93.55749999,TX,10/13/2005
8.3,Debris Burning,30.84533929,-83.12798679,GA,2/4/2010
1.0,Miscellaneous,42.73193374,-77.90597641,NY,3/4/2010
20.0,Arson,31.1222,-88.0994,AL,5/5/2000
2.0,Debris Burning,33.669209,-95.490213,TX,8/7/2011
20.0,Debris Burning,32.56499998,-96.1751,TX,8/22/2005
2.0,Debris Burning,47.21028723,-93.47281993,MN,4/2/2009
1.0,Arson,32.38856,-94.68856,TX,9/16/1999
19.3,Debris Burning,31.2408,-81.5575,GA,2/14/1999
10.0,Equipment Use,43.94039999,-98.51480001,SD,9/27/2003
1.0,Debris Burning,37.82518,-93.74782,MO,8/27/1999
1.0,Smoking,37.2936,-83.2331,KY,2/25/1998
1.0,Equipment Use,30.2370808,-97.8383698,TX,10/5/2011
1.0,Arson,40.74611111,-75.74861111,PA,3/27/2009
3.0,Lightning,30.11,-82.04,FL,5/24/1998
1.0,Miscellaneous,35.150426,-101.856664,TX,6/4/2013
1.0,Debris Burning,34.1156,-81.4619,SC,3/4/1999
0.58,Miscellaneous,31.04372295,-84.97758751,GA,10/1/2008
35.0,Debris Burning,30.2006,-81.705,FL,3/6/2000
10.0,Arson,33.37021,-98.44781,TX,1/29/2006
2.0,Debris Burning,33.6767,-86.9606,AL,8/19/1997
2.0,Debris Burning,35.125,-82.5203,SC,1/31/2001
3.0,Arson,31.6086,-89.8714,MS,5/30/2006
2.0,Campfire,38.43800893,-81.34133251,WV,11/16/2006
1.0,Miscellaneous,38.00945,-77.46472,VA,1/11/2008
1.0,Debris Burning,34.3428,-89.8114,MS,8/20/2000
1.5,Lightning,33.7319444,-109.026667,NM,6/18/2010
35.0,Missing/Undefined,37.52616001,-83.67308001,KY,10/6/2006
4.5,Debris Burning,44.33319999,-100.117,SD,3/13/2006
1.0,Miscellaneous,33.2110576,-99.77,TX,11/18/2013
2.0,Debris Burning,32.0363041,-98.4500262,TX,8/11/2014
3.0,Arson,33.7481,-87.6419,AL,1/12/1999
1.0,Missing/Undefined,28.78694001,-81.09472998,FL,4/9/2004
1.0,Equipment Use,34.95,-79.55,NC,10/7/2000
5.0,Debris Burning,31.56061498,-96.29158335,TX,1/24/2009
109.0,Debris Burning,31.10221999,-93.93528001,TX,3/30/2005
