Fire_Size,Fire_Size_Class,Fire_Cause,Latitude,Longitude,State,Discovery_Month,Discovery_Date,Discovery_Year,Vegetation,Fire_Magnitude,Temp_Pre_30,Temp_Pre_15,Temp_Pre_7,Temp_Present,Wind_Pre_30,Wind_Pre_15,Wind_Pre_7,Wind_Present,Hum_Pre_30,Hum_Pre_15,Hum_Pre_7,Hum_Present,Prec_Pre_30,Prec_Pre_15,Prec_Pre_7,Prec_Present
60,C,Arson,34.9478,-88.7225,MS,Feb,1/30/2004,2004,16,1,4.971929825,5.782765957,5.55875,13.69660023,3.364499484,2.923829787,2.695833333,3.36905041,75.53162853,75.86861314,76.81283422,65.06380028,168.8,42.2,18.1,124.5
1,B,Campfire,30.90472001,-93.55749999,TX,Nov,10/13/2005,2005,12,0.1,16.8519389,16.99778271,20.43478261,11.98555957,1.331257344,1.472949002,1.424782609,2.148856799,72.89947781,75.06138107,77.92462312,70.73291139,28.4,27.5,1.2,55.4
8.3,B,Debris Burning,30.84533929,-83.12798679,GA,Mar,2/4/2010,2010,12,0.1,8.410982659,9.007192575,8.209,14.32804746,1.98867052,1.745011601,2.2245,1.750701187,71.26086957,69.28103044,64.7979798,73.07207207,76.3,26.2,8.4,40.5
1,B,Miscellaneous,42.73193374,-77.90597641,NY,Apr,3/4/2010,2010,4,0.1,5.181472957,6.003609342,7.773429952,11.37532934,3.011635945,3.221656051,3.744927536,2.872771084,68.640553,69.55626327,63.96618357,59.95679797,52.9,38.4,2.3,30.5
20,C,Arson,31.1222,-88.0994,AL,Jun,5/5/2000,2000,12,1,24.56617502,25.54887064,25.23287037,25.6104251,3.414215202,3.272371134,2.899537037,2.623312883,73.71797885,74.60332542,69.44059406,77.47122693,93.7,85.3,41.4,154.3
2,B,Debris Burning,33.669209,-95.490213,TX,Sep,8/7/2011,2011,16,0.1,31.0192783,30.14500942,29.62350598,23.27791321,3.81606525,4.079190207,4.968924303,3.674487805,50.60751359,51.31638418,45.21912351,46.01573255,1.8,1.8,1.5,9.2
20,C,Debris Burning,32.56499998,-96.1751,TX,Sep,8/22/2005,2005,12,1,28.1309371,27.08040201,27.21354167,23.61437908,2.772785623,3.123869347,3.3390625,3.22496732,58.74293059,61.82871537,67.11518325,61.75294118,38.6,32,29,26.5
2,B,Debris Burning,47.21028723,-93.47281993,MN,May,4/2/2009,2009,15,0.1,4.751851852,6.52962963,5.023809524,10.567718,3.919036591,4.261538462,3.709722222,4.295313225,54.65678555,60.53846154,64.08333333,55.83758701,11.6,11.1,11.1,30.6
1,B,Arson,32.38856,-94.68856,TX,Oct,9/16/1999,1999,12,0.1,21.44210526,21.03448276,22.19393939,15.50313676,2.482307692,2.15508982,1.855063291,2.505447471,63.90877797,66.1557971,70.60740741,66.53044872,65.6,51.9,38.4,33.9
19.3,C,Debris Burning,31.2408,-81.5575,GA,Mar,2/14/1999,1999,12,1,12.50716332,12.78894472,12.48039216,19.88528678,3.890544413,4.315577889,3.783333333,3.755361596,53.97468354,49.94382022,62.05952381,54.91091954,30.4,21.3,17,8.7
